# Frequency,Velocity
2,697.4018165
2.144534444,693.8263995
2.299513991,689.8358048
2.465693479,685.3108071
2.643882297,680.0610497
2.834948326,673.763639
3.039822166,665.8307992
3.259501669,655.1022537
3.4950568,639.0995515
3.747634846,612.5060198
4.018466005,567.5326282
4.30886938,506.2773746
4.6202594,444.9291963
4.954152712,393.4292337
5.312175566,352.7065297
5.696071737,320.6503207
6.107711018,294.7968854
6.549098326,272.991725
7.022383468,253.3713078
7.529871614,234.1142443
8.074034517,213.1109029
8.657522562,188.0684894
9.283177667,159.6372459
9.954047129,135.4404056
10.67339846,119.6398431
11.44473532,109.8788998
12.27181455,103.6959277
13.15866449,99.68753818
14.10960462,97.08048915
15.12926655,95.42473431
16.22261662,94.44148203
17.39498005,93.94808032
18.65206694,93.81875526
20,93.9627144
21.44534444,94.31107791
22.99513991,94.80837798
24.65693479,95.40622029
26.43882297,96.05733018
28.34948326,96.70793078
30.39822166,97.28495252
32.59501669,97.67174681
34.950568,97.66864545
37.47634846,96.99289724
40.18466005,95.51677936
43.0886938,93.55840858
46.202594,91.5646
49.54152712,89.76855943
53.12175566,88.23024105
56.96071737,86.93807391
61.07711018,85.8595918
65.49098326,84.96013194
70.22383468,84.20870226
75.29871614,83.57924253
80.74034517,83.05035767
86.57522562,82.6046311
92.83177667,82.22790513
99.54047129,81.90864889
106.7339846,81.63743489
114.4473532,81.40652709
122.7181455,81.20954443
